Emoji,ASCII Code,Hex Color,Normalized Color
✏,9999,#d9d9d9,#cecdce
🔧,128295,#d9d9db,#cecdd1
📑,128209,#d9dadc,#ceced2
🌱,127793,#d9ecc4,#cee6b4
🥊,129354,#daa0a1,#cf8287
🍠,127840,#daa9a6,#cf8e8e
🍁,127809,#daac94,#cf9277
👄,128068,#daaeb8,#cf95a4
🏉,127945,#dab37d,#cf9b5a
🍞,127838,#dabd93,#cfa875
🎯,127919,#dabfbf,#cfabad
🗓,128467,#dacece,#cfbec0
🏫,127979,#dad1c1,#cfc2b0
⌛,8987,#dad3ce,#cfc5c0
🍍,127821,#dad4b7,#cfc6a3
📋,128203,#dad5ce,#cfc8c0
⛪,9962,#dad5d7,#cfc8cc
👀,128064,#dad6d1,#cfc9c4
🔒,128274,#dad9c6,#cfcdb6
👟,128095,#dad9d8,#cfcdcd
⌨,9000,#dadada,#cfced0
🥍,129357,#dadde0,#cfd2d7
🗻,128507,#dadde1,#cfd2d8
🌇,127751,#dba373,#d1864d
🏮,127982,#dba38e,#d1866f
🍖,127830,#dbb5a5,#d19e8c
👲,128114,#dbc190,#d1ad72
🦄,129412,#dbc1e4,#d1addc
😼,128572,#dbc385,#d1b064
🐡,128033,#dbc39a,#d1b07e
🍺,127866,#dbc4a9,#d1b191
🪳,129715,#dbc5c2,#d1b3b1
🚁,128641,#dbc6c7,#d1b4b7
🧄,129476,#dbc9bf,#d1b8ad
😭,128557,#dbca90,#d1b972
📈,128200,#dbd3d9,#d1c5ce
🥈,129352,#dbd7da,#d1cad0
🔓,128275,#dbdac9,#d1ceba
🇲,127474,#dbdbdb,#d1cfd1
🍈,127816,#dbdcbb,#d1d1a8
🚰,128688,#dbe0e3,#d1d6db
📧,128231,#dbe0e5,#d1d6de
🛫,128747,#dbe2eb,#d1d9e5
🗽,128509,#dbe9e7,#d1e2e0
🦞,129438,#dc988a,#d2786a
😻,128571,#dcb581,#d29e5f
⏰,9200,#dcb7b8,#d2a0a4
🪸,129720,#dcc0b3,#d2ac9e
🏆,127942,#dcc18c,#d2ad6d
😂,128514,#dcca8a,#d2b96a
🦌,129420,#dcd0c4,#d2c1b4
🤷,129335,#dcd1b5,#d2c2a1
🤺,129338,#dcdad7,#d2cecc
🫧,129767,#dcdbdd,#d2cfd3
⏲,9202,#dcdcdc,#d2d1d2
🟥,128997,#dd5143,#d31b10
🔴,128308,#dd5d5c,#d32b30
🧅,129477,#ddb493,#d39c75
💒,128146,#ddbccd,#d3a7bf
🍂,127810,#ddbd9d,#d3a882
🐫,128043,#ddc8b8,#d3b7a4
🛡,128737,#ddcac7,#d3b9b7
🪆,129670,#ddcbb1,#d3bb9c
🎺,127930,#ddd5b6,#d3c8a2
🍾,127870,#ddddcf,#d3d2c2
↔,8596,#dddddd,#d3d2d3
🕐,128336,#dddedf,#d3d3d6
🍴,127860,#dddfe2,#d3d5da
📎,128206,#dde1e5,#d3d7de
📐,128208,#dde3ea,#d3dae4
🍎,127822,#de8981,#d4645f
🥓,129363,#dea895,#d48d78
🥨,129384,#deb195,#d49978
🥐,129360,#deb271,#d49a4a
🐽,128061,#deb5be,#d49eac
🤡,129313,#deb6a9,#d49f91
👭,128109,#dec299,#d4af7d
✍,9997,#dec593,#d4b375
🏼,127996,#dec7b2,#d4b59d
🍗,127831,#decabb,#d4b9a8
🪓,129683,#decac5,#d4b9b5
👰,128112,#decb9c,#d4bb81
🐅,128005,#deccbc,#d4bcaa
🐮,128046,#ded6cf,#d4c9c2
🐰,128048,#ded8d8,#d4cccd
🎫,127915,#dedaa8,#d4ce90
🥋,129355,#dedcdc,#d4d1d2
🥎,129358,#dede69,#d4d340
‼,8252,#dedede,#d4d3d5
🏳,127987,#dedfdf,#d4d5d6
🕛,128347,#dedfe0,#d4d5d7
🗒,128466,#dee1e3,#d4d7db
🥳,129395,#dfba77,#d6a452
🦸,129464,#dfc09d,#d6ac82
😽,128573,#dfc285,#d6af64
🐪,128042,#dfcdbc,#d6bdaa
👝,128093,#dfcfbe,#d6c0ac
🦮,129454,#dfd1b9,#d6c2a6
🪜,129692,#dfd3c7,#d6c5b7
🫓,129747,#dfd8cc,#d6ccbe
🃏,127183,#dfdbd6,#d6cfca
🧂,129474,#dfdfde,#d6d5d5
#,35,#dfdfdf,#d6d5d6
📏,128207,#dfe5ec,#d6dde6
🪡,129697,#dfe9ef,#d6e2ea
🌧,127783,#dfe9f1,#d6e2ed
🎒,127890,#e09592,#d77474
🤰,129328,#e0c6be,#d7b4ac
🍷,127863,#e0c8c8,#d7b7b9
😅,128517,#e0c988,#d7b868
👳,128115,#e0d0a9,#d7c191
🐆,128006,#e0d2bf,#d7c4ad
🍧,127847,#e0d4d5,#d7c6c9
🍨,127848,#e0d7c9,#d7caba
🪝,129693,#e0d8c7,#d7ccb7
☺,9786,#e0e0e0,#d7d6d7
🌫,127787,#e0e0e4,#d7d6dc
🕊,128330,#e0e1db,#d7d7d1
🥄,129348,#e0e2e3,#d7d9db
💍,128141,#e0e4e7,#d7dbe0
🌨,127784,#e0eaf2,#d7e3ee
🪛,129691,#e0eddd,#d7e7d3
💋,128139,#e19595,#d87478
🥩,129385,#e1a49f,#d88885
💘,128152,#e1a9d3,#d88ec7
🍫,127851,#e1afac,#d89695
🚩,128681,#e1b8b8,#d8a2a4
🌷,127799,#e1beb8,#d8aaa4
🕌,128332,#e1c3aa,#d8b093
🧏,129487,#e1ca92,#d8b974
📒,128210,#e1d070,#d8c149
🙅,128581,#e1d0a8,#d8c190
🐈,128008,#e1d3c7,#d8c5b7
🍢,127842,#e1d4c7,#d8c6b7
🐁,128001,#e1dede,#d8d3d5
🕴,128372,#e1dfdc,#d8d5d2
🎍,127885,#e1e1cc,#d8d7be
↖,8598,#e1e1e1,#d8d7d8
🛁,128705,#e1e4e6,#d8dbdf
🧧,129511,#e28480,#da5e5d
🎃,127875,#e2b160,#da9935
🥫,129387,#e2beb8,#daaaa4
🏜,127964,#e2c29d,#daaf82
🤓,129299,#e2c47b,#dab157
🥹,129401,#e2c583,#dab361
🫚,129754,#e2c7aa,#dab593
🧥,129509,#e2cba2,#dabb89
📔,128212,#e2cca0,#dabc86
🍹,127865,#e2d5c2,#dac8b1
🥕,129365,#e2d6bc,#dac9aa
🪒,129682,#e2d6d1,#dac9c4
🎷,127927,#e2d7b6,#dacaa2
🏹,127993,#e2ddda,#dad2d0
🏑,127953,#e2ded4,#dad3c8
⛳,9971,#e2dfc2,#dad5b1
🤳,129331,#e2dfd8,#dad5cd
☃,9731,#e2e2e2,#dad9da
🏊,127946,#e2e4dc,#dadbd2
🤩,129321,#e3c383,#dbb061
🐹,128057,#e3c3b8,#dbb0a4
🎅,127877,#e3c899,#dbb77d
🗼,128508,#e3c9c7,#dbb8b7
🤣,129315,#e3cb87,#dbbb66
😓,128531,#e3cf8b,#dbc06b
🧁,129473,#e3d6ba,#dbc9a7
🍥,127845,#e3dbd7,#dbcfcc
📝,128221,#e3dccd,#dbd1bf
🏌,127948,#e3dfd4,#dbd5c8
🪕,129685,#e3e0d8,#dbd6cd
🇦,127462,#e3e3e3,#dbdadb
🩸,129656,#e4a4a4,#dc888b
⛵,9973,#e4c4b0,#dcb19a
😴,128564,#e4c67c,#dcb458
🥲,129394,#e4ce86,#dcbe65
🙋,128587,#e4cf9c,#dcc081
🎂,127874,#e4dad1,#dccec4
🏸,127992,#e4ddcd,#dcd2bf
🦢,129442,#e4e2d9,#dcd9ce
🇿,127487,#e4e4e4,#dcdbdc
🩼,129660,#e4e5e5,#dcddde
🛀,128704,#e4e6df,#dcded6
📮,128238,#e59393,#dd7175
🍑,127825,#e5a786,#dd8b65
🧠,129504,#e5b0c0,#dd97af
🧣,129507,#e5b2b1,#dd9a9c
🌶,127798,#e5b7b2,#dda09d
🤯,129327,#e5b970,#dda349
🍊,127818,#e5bc90,#dda772
🫦,129766,#e5bcc5,#dda7b5
🏎,127950,#e5c3c4,#ddb0b4
🐷,128055,#e5c4bd,#ddb1ab
🏏,127951,#e5c8b0,#ddb79a
👙,128089,#e5c8cc,#ddb7be
🗂,128450,#e5c9ae,#ddb898
🫔,129748,#e5cea6,#ddbe8e
💁,128129,#e5d2a2,#ddc489
🪫,129707,#e5d3d3,#ddc5c7
🧝,129501,#e5dcb5,#ddd1a1
🫄,129732,#e5dcca,#ddd1bb
🌾,127806,#e5e1b2,#ddd79d
🧖,129494,#e5e2c6,#ddd9b6
🔭,128301,#e5e4e4,#dddbdc
☣,9763,#e5e5e5,#ddddde
🗯,128495,#e5e6e6,#dddedf
🗡,128481,#e5e6e8,#dddee1
🍕,127829,#e6b898,#dfa27c
🍉,127817,#e6bcb5,#dfa7a1
👩,128105,#e6c16b,#dfad43
🎊,127882,#e6cac0,#dfb9af
🤑,129297,#e6cc77,#dfbc52
🥪,129386,#e6cea2,#dfbe89
😪,128554,#e6cf85,#dfc064
🍻,127867,#e6d5bf,#dfc8ad
🪃,129667,#e6d7d1,#dfcac4
🍛,127835,#e6dace,#dfcec0
🦘,129432,#e6dbd0,#dfcfc3
🥛,129371,#e6e5e3,#dfdddb
🐇,128007,#e6e5e5,#dfddde
⚪,9898,#e6e6e6,#dfdedf
🪥,129701,#e6f3f8,#dfeff6
🧲,129522,#e78c8c,#e0686d
🍟,127839,#e7a27c,#e08558
🎀,127872,#e7a5bc,#e089aa
👘,128088,#e7b972,#e0a34c
🥯,129391,#e7c8a7,#e0b78f
🥺,129402,#e7cb87,#e0bb66
🍝,127837,#e7d2bd,#e0c4ab
🍜,127836,#e7d7c8,#e0cab9
🙏,128591,#e7d8b6,#e0cca2
🤽,129341,#e7dbc0,#e0cfaf
🐓,128019,#e7dcd9,#e0d1ce
🧽,129533,#e7dd85,#e0d264
🤾,129342,#e7dfce,#e0d5c0
🦷,129463,#e7e0d4,#e0d6c8
🇹,127481,#e7e7e7,#e0dfe0
🦴,129460,#e7e8e8,#e0e0e1
💗,128151,#e895c1,#e174b0
🩳,129651,#e8af5b,#e1962e
🫨,129768,#e8c26e,#e1af47
😫,128555,#e8c677,#e1b452
🤪,129322,#e8c88f,#e1b770
🧓,129491,#e8c976,#e1b851
🧔,129492,#e8ca84,#e1b962
🎪,127914,#e8cac3,#e1b9b2
🤕,129301,#e8cd92,#e1bd74
👱,128113,#e8d08b,#e1c16b
💌,128140,#e8d0d0,#e1c1c3
🔱,128305,#e8d49f,#e1c685
🍮,127854,#e8d4c0,#e1c6af
🤴,129332,#e8d59a,#e1c87e
🤵,129333,#e8d5a6,#e1c88e
🥢,129378,#e8dada,#e1ced0
🎌,127884,#e8dddd,#e1d2d3
🪄,129668,#e8e5de,#e1ddd5
▪,9642,#e8e8e8,#e1e0e1
🎐,127888,#e8ecf1,#e1e6ed
🥵,129397,#e9ac7d,#e2925a
🦐,129424,#e9ac95,#e29278
🥰,129392,#e9b46c,#e29c44
💄,128132,#e9c0be,#e2acac
📌,128204,#e9c1c2,#e2adb1
💊,128138,#e9c497,#e2b17b
🧒,129490,#e9c671,#e2b44a
😩,128553,#e9c778,#e2b553
👵,128117,#e9c878,#e2b753
😃,128515,#e9c97e,#e2b85b
👋,128075,#e9ca84,#e2b962
😳,128563,#e9ca8d,#e2b96e
🛕,128725,#e9cdc0,#e2bdaf
👸,128120,#e9ce92,#e2be74
😥,128549,#e9d084,#e2c162
😷,128567,#e9d19b,#e2c280
💇,128135,#e9d4a2,#e2c689
🤶,129334,#e9d8bd,#e2ccab
⛹,9977,#e9ddc4,#e2d2b4
🍼,127868,#e9e6d5,#e2dec9
🚶,128694,#e9e6e3,#e2dedb
🫗,129751,#e9e7e7,#e2dfe0
🍬,127852,#e9e8f0,#e2e0eb
◻,9723,#e9e9e9,#e2e2e3
🥼,129404,#e9eaeb,#e2e3e5
💉,128137,#e9ecee,#e2e6e9
🪽,129725,#e9eff1,#e2eaed
🛑,128721,#ea8169,#e45a40
🍄,127812,#eaafa6,#e4968e
🖍,128397,#eac1c1,#e4adb0
🫵,129781,#eac467,#e4b13e
😵,128565,#eac876,#e4b751
😆,128518,#eaca7f,#e4b95c
😄,128516,#eacb7f,#e4bb5c
🐔,128020,#eacfc1,#e4c0b0
🌼,127804,#ead078,#e4c153
😢,128546,#ead083,#e4c161
👏,128079,#ead299,#e4c47d
🦻,129467,#ead6a5,#e4c98c
🏅,127941,#eadac3,#e4ceb2
🧋,129483,#eaddd0,#e4d2c3
👡,128097,#eaded3,#e4d3c7
🧹,129529,#eae5da,#e4ddd0
🌦,127782,#eae7db,#e4dfd1
7,55,#eaeaea,#e4e3e4
🎧,127911,#eaebeb,#e4e4e5
💔,128148,#eb8e89,#e56b69
🚨,128680,#eba099,#e5827d
🟠,128992,#eba74d,#e58b1d
🪱,129713,#ebbbbf,#e5a6ad
🏵,127989,#ebc070,#e5ac49
🩰,129648,#ebcbbe,#e5bbac
😀,128512,#ebcc80,#e5bc5d
🤐,129296,#ebcd81,#e5bd5f
😁,128513,#ebce86,#e5be65
🐱,128049,#ebd38a,#e5c56a
🙌,128588,#ebd39d,#e5c582
🥟,129375,#ebd5b6,#e5c8a2
🦒,129426,#ebdac4,#e5ceb4
🪠,129696,#ebddd9,#e5d2ce
📩,128233,#ebdfdf,#e5d5d6
🍸,127864,#ebeae5,#e5e3de
🤍,129293,#ebeaea,#e5e3e4
↕,8597,#ebebeb,#e5e4e5
🎟,127903,#ec9ca5,#e67d8c
💢,128162,#eca7a7,#e68b8f
🫁,129729,#ecb0ad,#e69796
😜,128540,#ecc986,#e6b865
🧇,129479,#ecca94,#e6b977
🌭,127789,#eccca8,#e6bc90
🫣,129763,#eccd79,#e6bd55
🥱,129393,#eccd7e,#e6bd5b
🎸,127928,#eccfce,#e6c0c0
🙄,128580,#ecd190,#e6c272
💅,128133,#ecd1c2,#e6c2b1
🏄,127940,#ecd2ac,#e6c495
🥤,129380,#ecd3d3,#e6c5c7
🥞,129374,#ecd4ad,#e6c696
🫅,129733,#ecd59a,#e6c87e
👷,128119,#ecdaa8,#e6ce90
🏻,127995,#ecdac8,#e6ceb9
🥂,129346,#ece6d4,#e6dec8
🍡,127841,#ece7d9,#e6dfce
🪞,129694,#ecece8,#e6e6e1
1,49,#ececec,#e6e6e6
🌬,127788,#eceef2,#e6e8ee
🆎,127374,#ed7569,#e84a40
🈴,127540,#ed796d,#e84f45
🈹,127545,#ed7e73,#e8564d
🈵,127541,#ed8379,#e85c55
🈲,127538,#ed847a,#e85e56
💑,128145,#edba8f,#e8a470
⛺,9978,#edbfab,#e8ab94
👛,128091,#edc5d6,#e8b3ca
👶,128118,#edcb74,#e8bb4e
🧑,129489,#edce82,#e8be60
🥖,129366,#edd8bc,#e8ccaa
🥚,129370,#edebe7,#e8e4e0
⃣,8419,#ededed,#e8e7e8
💭,128173,#ededee,#e8e7e9
🩷,129655,#ee85c5,#e95fb5
🏓,127955,#eea094,#e98277
🚫,128683,#eeb0a3,#e9978a
🧐,129488,#eecf82,#e9c060
🍯,127855,#eecf8c,#e9c06d
😬,128556,#eed087,#e9c166
💆,128134,#eed290,#e9c472
👼,128124,#eed58f,#e9c870
🤦,129318,#eed695,#e9c978
🐤,128036,#eed995,#e9cd78
🙎,128590,#eedaab,#e9ce94
🙍,128589,#eedaac,#e9ce95
🏖,127958,#eedbbe,#e9cfac
🍰,127856,#eedcb9,#e9d1a6
👢,128098,#eee2d4,#e9d9c8
🚤,128676,#eee8da,#e9e0d0
🦯,129455,#eeebec,#e9e4e6
🪧,129703,#eeedeb,#e9e7e5
*,42,#eeeeee,#e9e8e9
💯,128175,#ef9794,#ea7777
💝,128157,#efaa99,#ea8f7d
🍣,127843,#efb9ab,#eaa394
🍤,127844,#efbd9a,#eaa87e
🍿,127871,#efc6bb,#eab4a8
😝,128541,#efc97d,#eab85a
👦,128102,#efcc72,#eabc4c
👧,128103,#efcd74,#eabd4e
😲,128562,#efcd79,#eabd55
🤤,129316,#efcf7c,#eac058
👨,128104,#efcf7d,#eac05a
😤,128548,#efd186,#eac265
🚣,128675,#efd1c6,#eac2b6
🤧,129319,#efd48b,#eac66b
🧘,129496,#efddb3,#ead29e
📯,128239,#efdfcd,#ead5bf
🌡,127777,#efe0e2,#ead6da
🔖,128278,#efe2de,#ead9d5
🪈,129672,#efe7e0,#eadfd7
🧍,129485,#efe9db,#eae2d1
🦙,129433,#efeade,#eae3d5
🪿,129727,#efebe7,#eae4e0
〰,12336,#efefef,#eaeaea
⛔,9940,#f0ab9a,#eb917e
📛,128219,#f0afa2,#eb9689
🤭,129325,#f0c879,#ebb755
🤒,129298,#f0cb80,#ebbb5d
👴,128116,#f0cc70,#ebbc49
🥴,129396,#f0cc7b,#ebbc57
🥻,129403,#f0ccb3,#ebbc9e
🤨,129320,#f0cd78,#ebbd53
🥧,129383,#f0cda3,#ebbd8a
😧,128551,#f0ce79,#ebbe55
🤥,129317,#f0ce7b,#ebbe57
😉,128521,#f0cf7a,#ebc056
😖,128534,#f0d07b,#ebc157
📍,128205,#f0d4d3,#ebc6c7
🫶,129782,#f0d9a6,#ebcd8e
🐣,128035,#f0ddaa,#ebd293
🔑,128273,#f0e0ad,#ebd696
🏃,127939,#f0e8d8,#ebe0cd
🕯,128367,#f0e9e1,#ebe2d8
💖,128150,#f191ba,#ed6fa7
💞,128158,#f1a0d0,#ed82c3
😡,128545,#f1a46c,#ed8844
🛍,128717,#f1aab2,#ed8f9d
🤗,129303,#f1c26e,#edaf47
😛,128539,#f1ca7d,#edb95a
🫤,129764,#f1cd79,#edbd55
😟,128543,#f1cf7a,#edc056
😒,128530,#f1d07a,#edc156
😏,128527,#f1d07b,#edc157
🦱,129457,#f1d592,#edc874
🐖,128022,#f1dfd5,#edd5c9
🌤,127780,#f1e0bd,#edd6ab
🏗,127959,#f1e4d1,#eddbc4
🍦,127846,#f1e9d8,#ede2cd
🌥,127781,#f1eee9,#ede8e3
↙,8601,#f1f1f1,#edeced
😍,128525,#f2be7e,#eeaa5b
💏,128143,#f2bf8f,#eeab70
😘,128536,#f2c878,#eeb753
👚,128090,#f2c9e4,#eeb8dc
😊,128522,#f2cb77,#eebb52
🫢,129762,#f2cb7b,#eebb57
😚,128538,#f2cc79,#eebc55
😋,128523,#f2ce7e,#eebe5b
😮,128558,#f2cf7a,#eec056
😐,128528,#f2d07a,#eec156
😠,128544,#f2d07b,#eec157
😦,128550,#f2d17b,#eec257
🦩,129449,#f2d4d5,#eec6c9
🎖,127894,#f2d7c2,#eecab1
🥇,129351,#f2ddb0,#eed29a
🌝,127773,#f2de8f,#eed370
⛅,9925,#f2f0e6,#eeebdf
❌,10060,#f38585,#ef5f64
💥,128165,#f3c1b0,#efad9a
🦰,129456,#f3cc91,#efbc73
🫠,129760,#f3cf74,#efc04e
✊,9994,#f3cf7f,#efc05c
😙,128537,#f3d07b,#efc157
🤔,129300,#f3d17a,#efc256
😑,128529,#f3d17b,#efc257
😞,128542,#f3d27b,#efc457
🫡,129761,#f3d99f,#efcd85
🦶,129462,#f3dbac,#efcf95
🫥,129765,#f3e5c7,#efddb7
🏒,127954,#f3ebe9,#efe4e3
▫,9643,#f3f3f3,#efefef
🌩,127785,#f3f4f1,#eff0ed
⭕,11093,#f48c8c,#f0686d
💓,128147,#f49fd1,#f081c4
🎈,127880,#f4babd,#f0a4ab
🤫,129323,#f4cc7a,#f0bc56
👊,128074,#f4d081,#f0c15f
🙃,128579,#f4d17a,#f0c256
😕,128533,#f4d27b,#f0c457
🫲,129778,#f4da96,#f0ce79
🤸,129336,#f4edde,#f0e7d5
💕,128149,#f5b0d8,#f297cd
🌸,127800,#f5b9d2,#f2a3c5
🤲,129330,#f5d171,#f2c24a
😶,128566,#f5d37b,#f2c557
🤛,129307,#f5dba0,#f2cf86
🫱,129777,#f5dc99,#f2d17d
🐥,128037,#f5dc9b,#f2d180
🤝,129309,#f5dc9c,#f2d181
✌,9996,#f5dca4,#f2d18b
🤘,129304,#f5dda7,#f2d28f
🤞,129310,#f5dfac,#f2d595
🫳,129779,#f5e5bd,#f2ddab
🧈,129480,#f5ebd2,#f2e4c5
🧴,129524,#f5ece6,#f2e6df
🉐,127568,#f67875,#f34e4f
🧡,129505,#f6b572,#f39e4c
🔺,128314,#f6beb8,#f3aaa4
🌞,127774,#f6cd76,#f3bd51
🤜,129308,#f6dba0,#f3cf86
🫷,129783,#f6e4bb,#f3dba8
🫴,129780,#f6e6bd,#f3deab
🍌,127820,#f6eac8,#f3e3b9
🧎,129486,#f6f3eb,#f3efe5
❓,10067,#f7d5d5,#f4c8c9
🤟,129311,#f7dda1,#f4d287
👐,128080,#f7deac,#f4d395
☝,9757,#f7e0ad,#f4d696
👌,128076,#f7e0af,#f4d699
🫰,129776,#f7e2ab,#f4d994
🌛,127771,#f7ebc1,#f4e4b0
🌜,127772,#f7ecc2,#f4e6b1
🖱,128433,#f7f7f8,#f4f4f6
❗,10071,#f8d5d5,#f6c8c9
🧀,129472,#f8d686,#f6c965
👎,128078,#f8d78a,#f6ca6a
🖐,128400,#f8db98,#f6cf7c
🤚,129306,#f8dca3,#f6d18a
🌕,127765,#f8e16b,#f6d743
🦵,129461,#f8ebcf,#f6e4c2
🦳,129459,#f8eed7,#f6e8cc
🖖,128406,#f9dc9c,#f7d181
🤙,129305,#f9dd9b,#f7d280
✋,9995,#f9de9d,#f7d382
🏷,127991,#f9e2c5,#f7d9b5
❔,10068,#f9f9f9,#f7f7f7
🉑,127569,#fabc69,#f8a740
📴,128244,#fabe5c,#f8aa30
🈶,127542,#fabe5e,#f8aa32
🈺,127546,#fac064,#f8ac3a
🈚,127514,#fac165,#f8ad3b
🔻,128315,#faccc7,#f8bcb7
🟨,129000,#fad036,#f8c100
👂,128066,#fae4b0,#f8db9a
👇,128071,#fae4b6,#f8dba2
👉,128073,#fae5b4,#f8dd9f
👈,128072,#fae5b5,#f8dda1
👆,128070,#fae7bc,#f8dfaa
🎗,127895,#faeab8,#f8e3a4
💡,128161,#faf5e5,#f8f1de
📳,128243,#fbba50,#f9a420
🆚,127386,#fbbd59,#f9a82c
🚼,128700,#fbbf5e,#f9ab32
💛,128155,#fbda91,#f9ce73
🟡,128993,#fbdb4d,#f9cf1d
👍,128077,#fbe19d,#f9d782
💪,128170,#fbe3a8,#f9da90
🤌,129292,#fbe4b1,#f9db9c
🖕,128405,#fbe9c3,#f9e2b2
🌟,127775,#fbeab2,#f9e39d
⭐,11088,#fbedc3,#f9e7b2
🔶,128310,#fccd84,#fbbd62
🔆,128262,#fcdc9e,#fbd183
👃,128067,#fce9b6,#fbe2a2
🌙,127769,#fcf3d2,#fbefc5
🔥,128293,#fdc9a7,#fcb88f
🔸,128312,#fddeb0,#fcd39a
🔅,128261,#fde7b6,#fcdfa2
🦲,129458,#fdecb8,#fce6a4
⚡,9889,#fdefd2,#fceac5
💫,128171,#fdf1cd,#fcecbf
💮,128174,#fecac9,#fdb9ba
✨,10024,#feefd4,#fdeac8
🟧,128999,#ffa339,#ff8603
️,65039,#ffffff,#ffffff
